['1399037400', '591.9400', '592.8000', '591.7800', '592.3400', '227700', '2014-05-02 09:30:00']
['1399037460', '591.9300', '592.6000', '591.7455', '592.0200', '36200', '2014-05-02 09:31:00']
['1399037579', '591.4300', '591.9000', '591.1000', '591.6606', '45800', '2014-05-02 09:32:59']
['1399037582', '591.3400', '591.3800', '590.5500', '591.0000', '71500', '2014-05-02 09:33:02']
['1399037644', '591.1400', '591.7600', '591.0200', '591.3800', '31500', '2014-05-02 09:34:04']
['1399037700', '591.9800', '592.0000', '590.9500', '591.1500', '33900', '2014-05-02 09:35:00']
['1399037760', '592.2000', '592.2500', '591.7000', '591.9800', '40700', '2014-05-02 09:36:00']
['1399037820', '591.9200', '592.5500', '591.7700', '592.2600', '31600', '2014-05-02 09:37:00']
['1399037882', '592.6150', '592.8000', '592.0700', '592.0700', '36100', '2014-05-02 09:38:02']
['1399037941', '593.6000', '593.6400', '592.6200', '592.8000', '68100', '2014-05-02 09:39:01']
['1399038059', '594.0700', '594.1000', '593.5900', '593.6000', '63700', '2014-05-02 09:40:59']
['1399038060', '593.7000', '594.2000', '593.6300', '594.0899', '55700', '2014-05-02 09:41:00']
['1399038120', '593.0700', '593.9300', '593.0700', '593.6700', '41200', '2014-05-02 09:42:00']
['1399038182', '593.0100', '593.4100', '592.8100', '593.4100', '43700', '2014-05-02 09:43:02']
['1399038240', '592.5700', '593.7400', '592.5000', '593.1600', '41900', '2014-05-02 09:44:00']
['1399038300', '592.5000', '593.0000', '592.5000', '592.5800', '28000', '2014-05-02 09:45:00']
['1399038360', '592.6075', '592.9125', '592.4600', '592.4800', '21400', '2014-05-02 09:46:00']
['1399038423', '592.9600', '593.1800', '592.5350', '592.5350', '39300', '2014-05-02 09:47:03']
['1399038480', '592.4700', '593.0200', '592.4500', '592.9200', '22400', '2014-05-02 09:48:00']
['1399038540', '591.9650', '592.5800', '591.6301', '592.4501', '45100', '2014-05-02 09:49:00']
['1399038600', '591.7100', '592.2520', '591.5601', '591.9200', '38800', '2014-05-02 09:50:00']
['1399038719', '591.3499', '592.3390', '591.0900', '591.6000', '48600', '2014-05-02 09:51:59']
['1399038779', '590.8200', '591.3399', '590.6500', '591.1900', '38300', '2014-05-02 09:52:59']
['1399038780', '591.1300', '591.2400', '590.5700', '590.8100', '39100', '2014-05-02 09:53:00']
['1399038840', '591.5000', '591.7200', '590.9700', '590.9700', '20200', '2014-05-02 09:54:00']
['1399038900', '591.6100', '591.6700', '591.0400', '591.4600', '20500', '2014-05-02 09:55:00']
['1399038960', '592.5600', '592.6000', '591.6700', '591.7900', '36700', '2014-05-02 09:56:00']
['1399039022', '592.0100', '592.7750', '591.7500', '592.5600', '38600', '2014-05-02 09:57:02']
['1399039138', '591.4000', '591.9800', '591.1000', '591.8600', '34000', '2014-05-02 09:58:58']
['1399039140', '592.2800', '592.2800', '591.4100', '591.4300', '24500', '2014-05-02 09:59:00']
['1399039201', '592.2000', '592.2550', '591.2500', '592.1700', '24300', '2014-05-02 10:00:01']
['1399039263', '592.2200', '592.3200', '591.7300', '592.1700', '16400', '2014-05-02 10:01:03']
['1399039321', '591.7050', '592.2696', '591.6400', '592.1050', '18700', '2014-05-02 10:02:01']
['1399039380', '592.7500', '592.7900', '591.7000', '591.7800', '42500', '2014-05-02 10:03:00']
['1399039442', '592.9300', '593.1100', '592.4200', '592.6950', '48600', '2014-05-02 10:04:02']
['1399039501', '592.7100', '593.2000', '592.6400', '592.8900', '29800', '2014-05-02 10:05:01']
['1399039561', '592.5500', '593.0000', '592.2920', '592.8600', '26500', '2014-05-02 10:06:01']
['1399039625', '593.0500', '593.0700', '592.5601', '592.6300', '11200', '2014-05-02 10:07:05']
['1399039686', '593.4200', '593.4800', '592.8900', '593.0500', '19900', '2014-05-02 10:08:06']
['1399039744', '593.1180', '593.5000', '593.1180', '593.4700', '15000', '2014-05-02 10:09:04']
['1399039802', '593.2280', '593.3000', '593.0500', '593.1800', '17400', '2014-05-02 10:10:02']
['1399039863', '592.7700', '593.4900', '592.5000', '593.2700', '36100', '2014-05-02 10:11:03']
['1399039923', '593.4000', '593.4000', '592.8000', '592.8900', '8100', '2014-05-02 10:12:03']
['1399039980', '593.1000', '593.4900', '592.9800', '593.4000', '24600', '2014-05-02 10:13:00']
['1399040042', '593.1600', '593.4000', '593.0200', '593.2300', '8200', '2014-05-02 10:14:02']
['1399040104', '593.1900', '593.3800', '592.9700', '593.2300', '18300', '2014-05-02 10:15:04']
['1399040161', '592.9900', '593.2800', '592.9500', '593.0400', '13300', '2014-05-02 10:16:01']
['1399040222', '593.2100', '593.3800', '592.9640', '592.9700', '23300', '2014-05-02 10:17:02']
['1399040281', '593.1251', '593.3300', '593.1100', '593.2300', '13700', '2014-05-02 10:18:01']
['1399040341', '593.1300', '593.3000', '593.0200', '593.2000', '11900', '2014-05-02 10:19:01']
['1399040400', '592.9900', '593.2000', '592.8000', '593.1500', '27100', '2014-05-02 10:20:00']
['1399040519', '592.9600', '592.9600', '592.7800', '592.9600', '9300', '2014-05-02 10:21:59']
['1399040520', '592.9900', '593.1000', '592.7400', '592.9700', '21600', '2014-05-02 10:22:00']
['1399040580', '592.8200', '593.0900', '592.8200', '592.9630', '18100', '2014-05-02 10:23:00']
['1399040640', '593.0800', '593.0900', '592.8100', '592.8100', '7300', '2014-05-02 10:24:00']
['1399040706', '593.2300', '593.3000', '592.9780', '593.0000', '12400', '2014-05-02 10:25:06']
['1399040760', '593.4500', '593.4500', '593.1100', '593.1400', '16200', '2014-05-02 10:26:00']
['1399040821', '592.6100', '593.4000', '592.5900', '593.3900', '19200', '2014-05-02 10:27:01']
['1399040880', '592.3350', '592.7138', '592.2500', '592.6010', '18900', '2014-05-02 10:28:00']
['1399040940', '592.4400', '592.6322', '592.2500', '592.3600', '17900', '2014-05-02 10:29:00']
['1399041001', '592.0800', '592.3300', '591.8900', '592.3000', '23500', '2014-05-02 10:30:01']
['1399041063', '592.4200', '592.4500', '592.0600', '592.1700', '12200', '2014-05-02 10:31:03']
['1399041120', '592.2908', '592.4100', '592.0500', '592.4018', '10800', '2014-05-02 10:32:00']
['1399041196', '592.2900', '592.4300', '592.0600', '592.0600', '9000', '2014-05-02 10:33:16']
['1399041241', '592.6400', '592.6400', '592.1100', '592.1500', '17300', '2014-05-02 10:34:01']
['1399041306', '592.4700', '592.7170', '592.4700', '592.6500', '10900', '2014-05-02 10:35:06']
['1399041367', '592.2700', '592.6490', '592.2400', '592.5050', '11400', '2014-05-02 10:36:07']
['1399041421', '592.5900', '592.6300', '592.2600', '592.2600', '8300', '2014-05-02 10:37:01']
['1399041487', '592.7099', '592.7800', '592.4600', '592.6100', '12700', '2014-05-02 10:38:07']
['1399041545', '592.4300', '592.7500', '592.4300', '592.4925', '10400', '2014-05-02 10:39:05']
['1399041601', '592.5500', '592.6300', '592.2400', '592.4200', '11500', '2014-05-02 10:40:01']
['1399041719', '591.8700', '592.6600', '591.8000', '592.5500', '24600', '2014-05-02 10:41:59']
['1399041779', '591.4300', '591.9320', '591.3700', '591.8700', '48700', '2014-05-02 10:42:59']
['1399041782', '591.2560', '591.5300', '591.0500', '591.4100', '40800', '2014-05-02 10:43:02']
['1399041842', '591.4900', '591.4900', '591.0000', '591.3500', '23300', '2014-05-02 10:44:02']
['1399041904', '591.3900', '591.5700', '591.1900', '591.3900', '13900', '2014-05-02 10:45:04']
['1399041962', '591.0300', '591.5400', '590.8800', '591.4000', '27100', '2014-05-02 10:46:02']
['1399042020', '590.2200', '591.0900', '590.2200', '591.0900', '61000', '2014-05-02 10:47:00']
['1399042139', '590.5000', '590.5300', '590.2200', '590.2500', '30700', '2014-05-02 10:48:59']
['1399042198', '590.0700', '590.6800', '589.7500', '590.5340', '65600', '2014-05-02 10:49:58']
['1399042201', '590.1100', '590.4400', '589.7100', '589.8100', '81100', '2014-05-02 10:50:01']
['1399042318', '590.3400', '590.3600', '589.9300', '590.1100', '17700', '2014-05-02 10:51:58']
['1399042379', '590.7600', '590.9600', '590.2000', '590.2700', '35800', '2014-05-02 10:52:59']
['1399042439', '590.6475', '590.9400', '590.5300', '590.8586', '21700', '2014-05-02 10:53:59']
['1399042440', '590.6200', '590.8700', '590.4400', '590.6800', '20300', '2014-05-02 10:54:00']
['1399042559', '590.6632', '590.7500', '590.4400', '590.5800', '12600', '2014-05-02 10:55:59']
['1399042560', '591.0700', '591.2899', '590.6100', '590.7500', '19700', '2014-05-02 10:56:00']
['1399042620', '591.0500', '591.2900', '590.8904', '591.2799', '13800', '2014-05-02 10:57:00']
['1399042739', '591.3300', '591.4100', '591.0400', '591.1590', '18300', '2014-05-02 10:58:59']
['1399042741', '591.2600', '591.7500', '591.0200', '591.3410', '42100', '2014-05-02 10:59:01']
['1399042858', '591.2475', '591.4200', '591.1200', '591.2200', '12500', '2014-05-02 11:00:58']
['1399042860', '591.3400', '591.5100', '591.1700', '591.2050', '18200', '2014-05-02 11:01:00']
['1399042920', '592.0880', '592.1000', '591.2510', '591.2950', '25400', '2014-05-02 11:02:00']
['1399042981', '591.9796', '592.0900', '591.5701', '592.0900', '18400', '2014-05-02 11:03:01']
['1399043044', '591.8300', '592.0000', '591.6900', '591.9800', '9000', '2014-05-02 11:04:04']
['1399043102', '591.6897', '591.8499', '591.6500', '591.8300', '9800', '2014-05-02 11:05:02']
['1399043160', '591.6200', '591.7900', '591.5890', '591.6800', '10000', '2014-05-02 11:06:00']
['1399043221', '591.7000', '591.8000', '591.2600', '591.6200', '10100', '2014-05-02 11:07:01']
['1399043284', '591.4866', '591.9000', '591.4600', '591.8300', '6100', '2014-05-02 11:08:04']
['1399043344', '591.3000', '591.7000', '591.3000', '591.5600', '9800', '2014-05-02 11:09:04']
['1399043401', '591.2650', '591.3900', '590.8800', '591.3600', '19500', '2014-05-02 11:10:01']
['1399043465', '591.4000', '591.6000', '591.1700', '591.3600', '7500', '2014-05-02 11:11:05']
['1399043520', '591.1900', '591.3300', '591.1004', '591.2900', '6100', '2014-05-02 11:12:00']
['1399043583', '591.0000', '591.5299', '591.0000', '591.1413', '13000', '2014-05-02 11:13:03']
['1399043641', '591.1350', '591.3200', '590.9900', '590.9900', '7000', '2014-05-02 11:14:01']
['1399043703', '591.3100', '591.4700', '591.0900', '591.0900', '7000', '2014-05-02 11:15:03']
['1399043767', '591.4600', '591.7100', '591.3800', '591.4600', '15600', '2014-05-02 11:16:07']
['1399043820', '591.4000', '591.5500', '591.2210', '591.3100', '7000', '2014-05-02 11:17:00']
['1399043887', '591.3400', '591.5000', '591.1450', '591.4000', '9500', '2014-05-02 11:18:07']
['1399043941', '591.7400', '591.7500', '591.3300', '591.3300', '11600', '2014-05-02 11:19:01']
['1399044000', '591.6100', '591.6828', '591.4000', '591.6500', '10400', '2014-05-02 11:20:00']
['1399044060', '591.7101', '591.8100', '591.5000', '591.7500', '8000', '2014-05-02 11:21:00']
['1399044121', '591.6650', '591.8600', '591.6500', '591.7725', '6100', '2014-05-02 11:22:01']
['1399044183', '591.8428', '591.9100', '591.6920', '591.6950', '8800', '2014-05-02 11:23:03']
