['2003-08-08', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-08-08', 'M', 20000.0, 3.5, 'A', 330790.0, 'D', 0]
['2003-08-08', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-08-08', 'S', 13000.0, 63.0, 'D', 317790.0, 'D', 0]
['2003-08-08', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-08-08', 'S', 2000.0, 63.2, 'D', 315790.0, 'D', 0]
['2003-08-08', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-08-08', 'S', 5000.0, 63.15, 'D', 310790.0, 'D', 0]
['2003-08-08', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-08-08', 'M', 30000.0, 5.625, 'A', 340790.0, 'D', 0]
['2003-08-08', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-08-08', 'S', 22500.0, 62.28, 'D', 318290.0, 'D', 0]
['2003-08-08', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-08-08', 'S', 7500.0, 63.15, 'D', 310790.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'M', 40000.0, 5.625, 'A', 350790.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 6000.0, 55.41, 'D', 344790.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 5000.0, 55.09, 'D', 339790.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 3000.0, 55.4, 'D', 336790.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 3000.0, 55.22, 'D', 333790.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 3000.0, 54.56, 'D', 330790.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 2500.0, 54.65, 'D', 328290.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 5000.0, 54.77, 'D', 323290.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 2500.0, 55.1079, 'D', 320790.0, 'D', 0]
['2003-11-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-11-04', 'S', 10000.0, 54.82, 'D', 310790.0, 'D', 0]
['2003-12-24', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2003-12-24', 'M', 15000.0, 6.5313, 'A', 325790.0, 'D', 0]
